,unique_id,ds,cutoff,NHITS,KAN,MLP,MLP1,y,SeasonalNaive,SeasonalNaive-lo-99,SeasonalNaive-hi-99,is_anomaly,trend_str,seas_str
0,M1,1993-09-30,1993-08-31,2522.376,2832.5632,2227.3872,2108.7034,4800.0,6720.0,-1538.6566752213312,14978.656675221331,0,Stationary,Non-seasonal
1,M1,1993-10-31,1993-08-31,2222.809,2208.655,1891.9187,1820.0846,3000.0,2040.0,-6218.656675221331,10298.656675221331,0,Stationary,Non-seasonal
2,M1,1993-11-30,1993-08-31,2850.9258,3215.8845,2641.873,2418.4226,3120.0,6480.0,-1778.6566752213312,14738.656675221331,0,Stationary,Non-seasonal
3,M1,1993-12-31,1993-08-31,2324.2947,2065.046,1888.0807,1995.6719,5880.0,1920.0,-6338.656675221331,10178.656675221331,0,Stationary,Non-seasonal
4,M1,1994-01-31,1993-08-31,2614.612,2493.6558,2245.0667,2192.6226,2640.0,3600.0,-4658.656675221331,11858.656675221331,0,Stationary,Non-seasonal
5,M1,1994-02-28,1993-08-31,2496.1436,1961.5884,1948.8704,2018.248,2400.0,2040.0,-6218.656675221331,10298.656675221331,0,Stationary,Non-seasonal
6,M1,1994-03-31,1993-08-31,2248.6748,2152.4114,2083.4973,1749.4235,2280.0,2760.0,-5498.656675221331,11018.656675221331,0,Stationary,Non-seasonal
7,M1,1994-04-30,1993-08-31,2368.2095,2351.3643,1856.4902,1981.4677,480.0,3840.0,-4418.656675221331,12098.656675221331,0,Stationary,Non-seasonal
8,M1,1994-05-31,1993-08-31,1991.6028,1652.3492,1612.7594,1527.2823,5040.0,960.0,-7298.656675221331,9218.656675221331,0,Stationary,Non-seasonal
9,M1,1994-06-30,1993-08-31,2186.3176,1737.8837,1713.0496,1793.3187,1920.0,2280.0,-5978.656675221331,10538.656675221331,0,Stationary,Non-seasonal
10,M1,1994-07-31,1993-08-31,2148.967,1541.3738,1763.627,1513.9329,840.0,1320.0,-6938.656675221331,9578.656675221331,0,Stationary,Non-seasonal
11,M1,1994-08-31,1993-08-31,2118.2466,2132.4841,1567.3638,1653.3505,2520.0,2160.0,-6098.656675221331,10418.656675221331,0,Stationary,Non-seasonal
12,M10,1993-09-30,1993-08-31,3719.055,3459.379,3243.3618,3195.8022,5440.0,3260.0,-1588.3786122535912,8108.378612253591,0,Stationary,Non-seasonal
13,M10,1993-10-31,1993-08-31,4164.383,3955.5532,3793.9463,3830.3682,5260.0,4780.0,-68.3786122535912,9628.378612253591,0,Stationary,Non-seasonal
